size,samples,n_estimators,criterion,bootstrap,class_weight,loss_ensemble
15797,1,10,entropy,True,balanced,0.5178212851405622
15797,1,10,entropy,True,balanced_subsample,0.5170682730923695
15797,1,10,entropy,False,balanced,0.5188253012048193
15797,1,10,entropy,False,balanced_subsample,0.5188253012048193
15797,1,40,gini,True,balanced,0.5125502008032128
15797,1,40,gini,True,balanced_subsample,0.5105421686746988
15797,1,40,gini,False,balanced,0.5203313253012047
15797,1,40,gini,False,balanced_subsample,0.5203313253012047
15797,1,40,entropy,True,balanced,0.507781124497992
15797,1,40,entropy,True,balanced_subsample,0.5065261044176708
15797,1,40,entropy,False,balanced,0.5117971887550201
15797,1,40,entropy,False,balanced_subsample,0.5117971887550201
15797,1,70,gini,True,balanced,0.5095381526104418
15797,1,70,gini,True,balanced_subsample,0.5045180722891567
15797,1,70,gini,False,balanced,0.5153112449799198
15797,1,70,gini,False,balanced_subsample,0.5153112449799198
15797,1,70,entropy,True,balanced,0.507781124497992
15797,1,70,entropy,True,balanced_subsample,0.5045180722891567
15797,1,70,entropy,False,balanced,0.5107931726907631
15797,1,70,entropy,False,balanced_subsample,0.5107931726907631
15797,1,90,gini,True,balanced,0.5090361445783133
15797,1,90,gini,True,balanced_subsample,0.5095381526104418
15797,1,90,gini,False,balanced,0.5168172690763052
15797,1,90,gini,False,balanced_subsample,0.5168172690763052
15797,1,90,entropy,True,balanced,0.5070281124497992
15797,1,90,entropy,True,balanced_subsample,0.5020080321285141
15797,1,90,entropy,False,balanced,0.5128012048192772
15797,1,90,entropy,False,balanced_subsample,0.5128012048192772
